Location,Registered Nurse (RN)
Alabama,65002
Alaska,8033
Arizona,54716
Arkansas,35581
California,339108
Colorado,56969
Connecticut,45440
Delaware,8701
District of Columbia,4272
Florida,249436
Georgia,102214
Hawaii,2360
Idaho,18131
Illinois,157806
Indiana,99898
Iowa,43772
Kansas,29058
Kentucky,58861
Louisiana,33801
Maine,20154
Maryland,72084
Massachusetts,101246
Michigan,125490
Minnesota,77779
Mississippi,40856
Missouri,79910
Montana,13040
Nebraska,25407
Nevada,25010
New Hampshire,10471
New Jersey,98623
New Mexico,19602
New York,145729
North Carolina,71622
North Dakota,9264
Ohio,172052
Oklahoma,39817
Oregon,30957
Pennsylvania,172963
Rhode Island,13681
South Carolina,36228
South Dakota,12892
Tennessee,80111
Texas,265081
Utah,14638
Vermont,7783
Virginia,90939
Washington,46939
West Virginia,22545
Wisconsin,27740
Wyoming,2856
